cty,bii_crop,n_crop,bii_urban,n_urban,bii_past,n_past,bii_plant,n_plant,bii_natural_combined,n_natural,natfor,other,bii_natfor,bii_other,natfor_capped
KEN,0.6169996453012949,491108,0.3289613663262485,5237,0.6989988606133338,1106966,0.5858536794477042,175257,0.7629367579846359,1104289,3503.23,25735.599,0.8365704962837655,0.752913446655389,False
KGZ,0.6226787670689308,156626,0.3761719580016552,13352,0.7093511145330569,616360,0.5506881817477298,15221,0.75519047692355,496904,1169.53,7558.676,0.8267910518985234,0.7441119467086711,False
KHM,0.603505604479759,300234,0.4047350035703694,19054,0.6504078177089717,90923,0.6446943605449907,193046,0.7897404883438446,323287,7000.32,3958.6543,0.8193369794767289,0.737403281529056,False
KOR,0.5403599514875206,193451,0.2922436375970086,53618,0.5167019571798962,2223,0.545086139637318,53416,0.6154778403322615,302931,4028.6,1862.774,0.6355738386813006,0.5720164548131705,False
LAO,0.6600058877397167,242479,0.4368442718846672,3339,0.6482577346774273,32513,0.6425871037713249,106032,0.8035153732401812,843452,12909.116,7692.224,0.8346810831410092,0.7512129748269083,False
LBN,0.5395513891211461,19418,0.3296668416894231,5126,0.6255483098787393,20067,0.5166470285813418,7466,0.5934266249989136,10998,140.588,200.4443,0.6304837837162414,0.5674354053446172,False
LBR,0.678346647324727,88852,0.2898602813021549,1229,0.6550481354177615,63215,0.6205699175956584,36390,0.7659612948465527,296633,6288.84,1220.12,0.778612862111791,0.700751575900612,False
LBY,0.5866198199152993,86012,0.3490577896626503,10641,0.6396319675742422,219332,0.566881234298759,5054,0.9037324928558642,8878161,134.332,160397.334,1.0,0.9036518692791053,True
LKA,0.5828402336772014,44661,0.275745579503019,8238,0.6221285341507597,31746,0.5793006203565246,146284,0.7065697556656113,98995,1904.036,1216.534,0.7352323110410728,0.6617090799369655,False
LSO,0.5796880881460046,34780,0.3147262958433863,892,0.6543772002151689,118796,0.5744561949372291,100,0.6216195680058857,23264,25.85,568.48,0.6873665682812412,0.6186299114531171,False
MDA,0.5504636210559031,192200,0.3882186623385802,23239,0.5505445466832969,11234,0.565077435478942,3069,0.5750383777727491,20261,161.74,423.38,0.6198924349046043,0.5579031914141439,False
MDG,0.6433089657334959,384476,0.3383018172390691,1857,0.6994775695648114,2170934,0.6639184474132234,43411,0.7656884327365323,560355,10170.884,6865.808,0.7978415459642267,0.7180573913678041,False
MEX,0.6256671597943326,1900703,0.2911067098931498,84816,0.7133444292803518,4381134,0.6241109426659306,376158,0.7861987715763832,4026809,66655.66,27492.4645,0.8098473570718014,0.7288626213646213,False
MLI,0.6558536348888784,322909,0.3479886392601947,3369,0.6919140453354999,1998865,0.6464792642621221,93398,0.925406812090565,4236733,10383.192,67900.883,1.0,0.9140002536227502,True
MMR,0.6104703445017429,1080450,0.3726404920919496,22934,0.5995816596462978,70613,0.6082881191671705,245143,0.7757996078126753,2164143,26923.956,24032.832,0.8141998463063297,0.7327798616756968,False
MNG,0.725045735492501,115221,0.4869787394518998,7428,0.757356332078746,7609789,0.7565609514713287,54,0.8990051332366078,3728973,14170.42,29063.37,0.9637950390587158,0.8674155351528442,False
MOR,0.573976547707167,547510,0.291828819546146,12620,0.6872759183873981,1216534,0.569155356758514,91448,0.8540435229699872,2085092,5649.54,29993.8672,0.9325144577210425,0.8392630119489383,False
MOZ,0.6473839585571931,690116,0.3969001323739616,6119,0.6884915627721686,1419313,0.6592511015548786,446742,0.760699804063808,1562254,33234.744,3826.356,0.7686355459414816,0.6917719913473335,False
MRT,0.6881291993943486,31454,0.3169440037683043,1528,0.732429907231842,1331201,0.6699453189828927,1595,0.9539415514930262,4260526,639.942,62351.39,1.0,0.9534688317083597,True
MWI,0.5665825853670797,245195,0.3009351512643644,3611,0.6355467112608647,17112,0.5996277102773873,99335,0.7256797752749882,126397,2127.334,1178.3,0.7525028948647283,0.6772526053782555,False
MYS,0.61678042220262,185132,0.285310368537866,32364,0.6462768463920308,13365,0.6403368549747586,391203,0.8374404350115704,1033911,16997.84,5143.76,0.8573578900302777,0.7716221010272499,False
NAM,0.7021538752008424,256489,0.458599838740074,1732,0.7307512034218706,1930514,0.7533887767629874,54349,0.8451491326940047,2248168,8045.536,35471.464,0.9201523522078899,0.8281371169871009,False
NER,0.6323368393609059,438511,0.3381156563049271,1008,0.6867765920132017,1818496,0.6541867079155775,22519,0.9478703717190304,4004466,937.28,78996.72,1.0,0.9472518642924539,True
