cty,bii_crop,wsum_crop,bii_urban,wsum_urban,bii_past,wsum_past,bii_plant,wsum_plant,bii_prim,wsum_prim,bii_secd,wsum_secd,bii_natural_combined,wsum_natural_combined,natfor,other,bii_natfor,bii_other,natfor_capped
LKA,0.5828402335834237,1786.4399885088203,0.2757455790318514,329.5199992656708,0.622128534222406,1269.8399966359138,0.5793006203087541,5851.359990246594,0.8167728289898206,1772.1199955046177,0.6173002692415218,2187.6799944862723,0.7065697558279477,3959.799990437925,1904.036,1216.534,0.7352323112099945,0.6617090800889951,False
LSO,0.5796324015894839,1397.799998037517,0.3140197035120041,34.919999830424786,0.6541724407786166,4745.839997366071,0.576893079949885,3.919999912381172,0.6881648819594377,9.639999829232693,0.6211236934204887,919.519999332726,0.6218192432059455,929.1599990203975,25.85,568.48,0.6875873625806811,0.618828626322613,False
MDA,0.5503243567924027,7721.999986231327,0.3885762493723393,934.1599993556738,0.5500728161864451,452.3999952748418,0.5651944470944045,125.31999766081572,,0.0,0.5749191431845772,814.2399980947375,0.5749191431845772,814.2399980947375,161.74,423.38,0.6197638997980032,0.5577875098182029,False
MDG,0.6433089655998779,15379.039955556393,0.3383018164007069,74.27999959141016,0.6994775879515435,86837.43993845582,0.6639184473478547,1736.4399883449078,0.8446063315677961,10351.5599726066,0.6979650021204066,12062.639970704911,0.7656884328654919,22414.19994276017,10170.884,6865.808,0.7978415460986017,0.7180573914887416,False
MEX,0.625688427349989,76006.91984166205,0.2912152530178904,3386.9199886024,0.7133439428895816,175193.7597802207,0.6240957254675394,15051.199881523848,0.8484644063265308,85092.7597964853,0.7163812104531713,75973.91987546533,0.7861617739506226,161066.6796847731,66655.66,27492.4645,0.8098092465703312,0.728828321913298,False
MLI,0.6558870039927862,12919.519958235323,0.3479886382092738,134.75999929755926,0.6919072226970062,79970.11993887275,0.6465465369088272,3741.599973760545,0.9617034608378988,140980.39998009056,0.7452303732306709,28434.83996456861,0.9253703800448546,169415.23992179334,10383.192,67900.883,1.0,0.9139582505018367,True
MMR,0.6104605897934358,43208.119924776256,0.3726065293332942,915.519995354116,0.599201259697289,2817.9599917680025,0.6082381174288419,9804.599927723408,0.8578190450491059,45222.11992278695,0.6857883663766396,41260.5199579522,0.7757438996399995,86482.63990437984,26923.956,24032.832,0.8141413807113824,0.7327272426402442,False
MNG,0.725078835736699,4619.839983820915,0.4869963952625859,297.7599988505244,0.7573499235654699,304409.7999169007,0.756560951252604,2.1599999740719795,0.9234095500007832,119574.8398886323,0.8005855157015362,29683.83994976431,0.8989829037456428,149258.67983217537,14170.42,29063.37,0.9637712075228092,0.8673940867705283,False
MOR,0.5739918396010125,21899.99996477365,0.2917991832348293,504.6799985542893,0.6873001372313379,48681.6799762398,0.5691599950550528,3657.759977258742,0.92068458659997,55997.039979711175,0.7178010599412343,27412.279992058877,0.8540073850457874,83409.31993067265,5649.54,29993.8672,0.9324749993844567,0.839227499446011,False
MOZ,0.647392944272424,27587.8799251914,0.3968992548968785,244.9199984446168,0.688498390027013,56768.31990066171,0.6592247339082555,17866.719890914857,0.8237765070604773,31368.599882662296,0.697141407121601,31107.799935527142,0.7607232683611436,62476.39980041981,33234.744,3826.356,0.7686592550221154,0.6917933295199039,False
